nummer;frage;antwort1;antwort2;antwort3;richtig
17;Wozu dienen umgangssprachlich Filesharing-Systeme?;Zum Austausch von Daten über das Internet (häufig nicht legal);Diese Systeme dienen dazu, Internetzugänge zu verwalten und automatisch die Kosten zu berechnen.;Es handelt sich hierbei um Software zur Überwachung kostenpflichtiger 0190-Dienste.;1
18;Was ist POP3?;"Das Protokoll ""POP3"" erlaubt die Fernsteuerung eines PCs via einer Internetverbindung.";"Mittels des Protokolls ""POP3"" werden E-Mails zu einem Mail-Server gesendet.";"Bei ""POP3"" handelt es sich um ein Protokoll zum Abrufen von E-Mails von einem Mail-Server.";3
19;Was ist ein Vulnerability Scanner?;Vulnerability Scanner werden an die serielle Schnittstelle angeschlossen und dienen dazu, schadhafte Lötstellen an einem Bauteil zu entdecken.;Vulnerability Scanner dienen dazu, Schwächen und offene Angriffspunkte in Netzwerke und Systeme zu erkennen.;Mittels Vulnerability Scanner ist es möglich, Formeln eines Excel-Dokuments auf Richtigkeit zu überprüfen.;2
20;Was ist ein Thesaurus?;Ein Thesaurus, auch Thesaurier genannt, ist ein uralter Computer aus der Zeit des Z3, gebaut 1941 von Konrad Zuse.;Der Thesaurus ist ein Synonymwörterbuch.;Bei einem Thesaurus handelt es sich um eine Formatierungshilfe in einer Textverarbeitung.;2
21;Was ist OCR-Software?;Mit OCR-Software entfernen Sie einen Farbschleier bei Fotos.;OCR-Software dient zum Entfernen der „roten Augen“ bei missglückten Fotos.;Mittels OCR-Software bringen Sie Ihrem Computer das Lesen bei, da die Software zur Texterkennung in Grafikdateien dient.;3
22;Was ist MySQL?;Eine Datenbank;Ein Programm zur interaktiven Erstellung von HTML-Seiten;Eine populäre Textverarbeitung unter Linux;1
23;Was ist das BSI?;Bundesamt für Sicherheit in der Informationstechnik;Bundesamt für Sicherheitsdefizite im Innenministerium;Bundesamt zur Strafverfolgung von IT-Verbrechen;1
24;Was sind Cookies?;Cookies sind Bedieneroberflächen um durch das Internet zu navigieren.;Cookies sind nach dem Erfinder J.R.R. Cookie benannt und enthalten Konfigurationsdaten für den Internet Explorer.;Cookies sind kleine Textdateien, die ein WWW-Server auf dem Client abspeichern kann und beinhalten Informationen über den Besucher der Internetseite.;3
25;Welche Zahl folgt anstelle des Fragezeichens: 1, 11, 101, 111, ?;1001;1101;1111;1
26;Was ist ein Backup?;Die Sicherung der Daten und / oder Programme eines oder mehrerer Laufwerke;Das Zurückspielen einer Datensicherung auf den Computer;Das Speichern einer Datei in der Zwischenablage;1
27;Wozu dient die Datei Autorun.inf?;In der Datei Autorun.inf sind Hardware-Konfigurationsdaten gespeichert.;Autorun.inf ist ein Treiber, der die Zugriffszeiten auf ein CD-ROM verkürzt.;Die Datei Autorun.inf startet bei Medienwechsel automatisch ein Programm des Mediums.;3
28;Was ist ein Spamblocker ?;Ein Programm, das unerwünschte E-Mail, beispielsweise Werbe-Mails, ausfiltert.;Ein Programm zum Blocken von Werbeeinblendungen auf Internetseiten;Ein Programm zum Schutz vor Angriffen aus dem Internet;1
29;Was bedeutet WWW?;Welt Weite Warteschlange;World Wide Waitstates;World Wide Web;3
30;Mit welcher Tastenkombination wird der gesamte Text markiert?;Strg + C;Strg + V;Strg + A;3
31;Was sind Portscanner ?;Ein Portscanner liefert Informationen über den Status des gescannten Port.;Der Portscanner öffnet definierte Ports zur Nutzung.;Mittels eines Portscanners erkennt man Speicherlücken, so genannte Leaks, die durch unsaubere Programmierung entstehen.;1
32;Welche Aussage zu Makroviren ist richtig?;Makroviren beinhalten selbstmodifizierenden Programmcode zur Automatisierung von Datenbankzugriffen.;Makroviren sind kleine, schädliche Programme, die in der Makrosprache einer Anwendung programmiert sind.;Makroviren werden beim Start des PCs aktiviert und sind im BIOS des PCs gespeichert.;2
33;Mit welchem Programm können die Werte der Registry geändert werden ?;Regedit;Notepad;Sysedit;1
34;Was versteht man umgangssprachlich unter einem Dialer?;Mittels eines Dialers können auch unerfahrene Anwender ein kleines Netzwerk automatisch einrichten.;"Analog einer Suchmaschine, fahndet ein Dialer nach Informationen; allerdings nicht im WWW, sondern in Newsgroups.";Ein Dialer ist ein Programm, das einen neuen Internetzugang, meistens zu 0190-Nummern, einrichtet.;3
35; Was ist ein Hoax?;Ein Hoax ist eine Bezeichnung für eine Warnung vor einem nicht existenten bösartigen Computerprogramm.;Spricht man in Supporter-Insiderkreisen von einem Hoax, ist damit ein schlechter Scherz gegenüber einem Hilfesuchenden gemeint: Man hat ihm sozusagen die Hoaxen weg gezogen.;Hoax leitet sich von Hacke ab. Damit ist ein Programm gemeint, das wie eine Hacke die Festplatte bearbeitet und eine aufgeräumte und gesäuberte Festplattenstruktur hinterlässt.;1
36;Was ist PGP (Pretty Good Privacy)?;Mit PGP werden Daten, die über das Internet versandt werden anonymisiert.;PGP ist ein Verschlüsselungsprogramm für Dateien und E-Mail, sowie zur Signierung von Dateien.;PGP beseitigt die beim Surfen entstandenen Internetspuren auf dem PC, so dass die Privatsphäre gewahrt bleibt.;2
37;Welche Aussage zum Cache ist richtig?;Ein Cache ist ein Speicherbereich oder –medium, um Daten zwischen zu speichern.;Der Cache ist eine Kommunikationsmethode, bei der immer nur ein Gerät zu einer bestimmten Zeit Daten senden kann.;Mittels eines Caches kann ein Fernzugriff auf Daten ermöglicht werden.;1
38;Was bedeutet im Computerjargon ein Attachment?;Ein Attachment ist in der Welt der Computer das Gegenstück zur eigenhändigen Unterschrift.;Mittels eines Attachments können MP3-Dateien vom Hersteller identifiziert und der Übertragungsweg, sowie der Absender, ermittelt werden.;Ein Attachment ist ein Dateianhang an eine E-Mail.;3
39;Was bedeutet FTP?;Folder Transport Protokol;File Transfer Protokol;Film Tausch Pool;2
40;Was sind Computerwürmer?;Analog zu Regenwürmern, lockern Computerwürmer die IT-Landschaft auf, und erlauben somit eine bequeme und sichere Administration des Netzwerks.;Computerwürmer sind Programme, die in Computer über eine Schwachstelle eindringen und sich von dort aus weiter vermehren.;Ein Computerwurm klinkt sich in Textverarbeitungsprogramme ein, und ermöglicht die Erstellung von Serienbriefen mit direkter Steuerung einer Datenbank.;2
41;Was ist ein Bug?;Ein Bug ist eine Sollbruchstelle in einem Programm die sicherstellt, dass auch zukünftig Updates verkauft werden?;Ein Bug ist eine vielfach genutzte Funktion zur Formatierung von Textpassagen?;Ein Bug ist ein Hard- oder Softwarefehler?;3
42;Was sind Exploits?;In Exploits wird die vertikale Frequenz bei Monitore angegeben. Ein sehr guter Monitor hat zirka 100 Exploits.;Exploits dienen dazu, eine Sicherheitslücke auf dem Zielrechner zu demonstrieren.;Exploits sind eine Technologie zur drahtlosen Kommunikation zwischen diversen mobilen Geräten.;2
43;Was ist ein Makro?;Mittels eines Makros werden Prozessoranweisungen zusammengefasst und somit Ablaufzeiten verkürzt. Mit dem Tool Supermakro arbeitet ein Pentium II 400 genau so schnell wie ein Pentium IV 200.;Ein Makro ist eine gespeicherte Folge von Tastenanschlägen und/oder Mausklicks.; Makros sind Bilddateien, die versteckte Informationen beinhalten.;2
44;Was versteht der versierte Computerfachmann unter Malware?;Malware ist ein Zeichenprogramm für Kinder. Malware bekommen Betreiber eines Kindergartens zum Studentenrabatt.;Malware ist der Oberbegriff für Computerschädlinge wie Viren, Würmer und Trojaner.;Malware ist Software zur Erstellung grafischer Oberflächen für das Betriebssystem Linux, das von Microsoft gekauft und unter dem Namen Windows XP Special Edition vertrieben wird.;2
45;Was ist eigentlich ein Debugger?;Ein Debugger zeigt Trends im Aktienmarkt an. Der bekannteste Debugger, Trendy Aktie, sah schon 1998 den Untergang des Neuen Markts voraus.;Debugger dienen dem Management dazu, Verstöße im Umgang mit der hausinternen IT zu ermitteln. Ein wesentlicher Bestandteil des Debuggers sind integrierte Mechanismen zur Persönlichkeitsanalyse.;Ein Debugger hilft dem Softwareentwickler bei der Fehlersuche in einem Programm.;3
46;Was ist das OSI-Schichtenmodell?;Das OSI-Schichtenmodell (OSI=Organized Software Interchanging) regelt den illegalen Austausch von Software über behördlich organisierte Netzwerke.;Mittels des OSI-Schichtenmodells wird der Austausch von Grafiken zwischen verschiedenen Computersystemen geregelt. OSI-Trans ist der Marktführer. Sie können es unter http://%57%57%57.%56%4e%52.%44%45/ auf Ihren PC laden.;Das OSI-Schichtenmodell definiert Standards der ISO zur Kommunikation zwischen Computersystemen.;3
47;Wozu dient Remote Control Software?;Remote Control Software holt sich, zur Fernsteuerung, den Desktop eines entfernten Rechners auf den lokalen PC.;Remote Control Software dient zur Datensicherung in einem NAS (Network Attached Storage).;Remote Control Software ist ein Werkzeug, mit dem ausschließlich Hacker arbeiten und das zum Angriff von Servern dient. Durch die Kooperation der NSA mit Microsoft wurde die Remote Control Software XP Professional erschaffen.;1
48;Was ist in einer Newsgroup unter einem Flame zu verstehen?; Ein Flame ist eine brandheiße Neuigkeit, die über den Reuters-Ticker übermittelt wird.;Die Beschimpfung in einer Newsgroup nennt man Flame.;Mittels eines Flames werden Festplatten bis an die Grenze des Möglichen gebracht. Intel vertreibt derzeit den Marktführer: das Tool Flame-Me-Up.;2
49;Was ist eine Backdoor?;Backdoors sind Softwarepakete speziell für Rechtsanwaltskanzleien. Die wesentlichen Merkmale der Software sind: Ein automatisiertes Mahnverfahren und die Möglichkeit, die Gebührenordnung (BRAGO) zu umgehen.;Eine Backdoor ist eine Hintertür zu einem anderen Computer.;Eine Backdoor gehört zu den Must-Have Produkten. Backdoors ermöglichen den kostenlosen und anonymen Versand von SMS.;2
50;Was ist der Affengriff ?;Es handelt sich hierbei um den hardwaregesteuerten Bestandteil der Firewall, zum Verschieben der Log-Dateien auf einen Log-Server. Umgangssprachlich heißt es: Sie verschieben den Affen.;"Als Affengriff bezeichnet man das gleichzeitige Drücken der Tasten ""Strg"", ""Alt"" und ""Entf""";Ein Affengriff ist der Kauf eines deutlich überteuerten Computerprodukts. Dieser wird meistens durch die Werbung initiiert.;2
51;Was ist ein Upload?;Ein Upload ist eine Aktualisierung auf eine neuere Version einer Software.;Unter einem Upload versteht man das Hinaufladen von Dateien zu einem Host .;Ein Upload ist staatlich geförderte Penetrationssoftware. Demzufolge setzt das Innenministerium auch Uploads zur kontrollierten Penetration von Netzwerken deutscher Unternehmen ein.;2
52;Was ist unter einem BCC beim Versenden von E-Mail zu verstehen?;British Cargo Company;Blind Carbon Copy;Blind Control Consumer;2
54;Wozu dient das Programm Ping?;Ping dient zur Überprüfung, ob eine Datenbank mit Onlinezugriff auf dem angepingten Rechner installiert ist.;Mittels Ping kann die Erreichbarkeit eines Rechners im Netzwerk getestet werden.;Ping ist ein Programm, um aus dem PC Informationen zur Lizenzierung des Betriebssystems zu lesen.;2
55;Wofür steht die Abkürzung OLE?;Organization of European Layers;Object Linking and Embedding;Optical Linking and Encrypting;2
56;Wozu dienen Sniffer?;Sniffer untersuchen Word-Dokumente auf versteckte Rechtschreibfehler.;Sniffer dienen zur Analyse des Netzwerkverkehrs.;Sniffer sind gediegene Werkzeuge für Buchhalter zur Ermittlung der Jahresabschlusszahlen.;2
57;Wofür steht die Abkürzung APM ?;Advanced Pulse Modulations;Advanced Privacy Mail;Advanced Power Management;3
58;Was ist eine Tan?;Tan, Titan Analytic Numberchruncher, ist ein Programm, dass Deep Fritz derzeit den Rang als bestes Schachprogramm abnimmt.;Eine Tan, Total Analytic Number, ist der Multiplikator, mit dem die Taktrate der Grafikkarte festgelegt wird.;Die Tan, Transaktionsnummer, dient beim Online-Banking als elektronischer Ersatz für die Unterschrift.;3
59;Was ist ein Buffer Overflow?;Ein Buffer Overflow ist der Teil einer Soundkarte, der für die Tongenerierung verantwortlich ist.;Ein Buffer Overflow ist ein Speicherüberlauf. Bekannt geworden sind Buffer Overflows durch Hackerangriffe, die Softwarefehler ausnutzen, um eigenen Code auf einem Fremdrechner auszuführen.;Buffer Overflow ist die Bezeichnung für Verschlüsselungs- oder Chiffrierverfahren im Internet.;2
60;Was ist ein Keylogger?;Ein KeyLogger ist ein Programm, mit dem sich Arbeitsschritte am PC automatisieren lassen.;Ein Keylogger speichert Log-Dateien des Betriebssystems auf einem Key-Server.;Ein Keylogger ist ein Programm, welches meistens illegal eingesetzt wird und Tastaturanschläge aufzeichnet.;3
61;Was ist MIME?;Die Abkürzung – MIME - bedeutet: Management Information Multicast Elements und ist eine Erweiterung von SNMP (Simple Network Management Protocol).;"MIME bedeutet ""Multipurpose Internet Mail Extensions"" und ist ein Internet Standard für das Verschicken und Empfangen von E-Mails mit formatiertem Text, Audio, Video oder Bildern.";MIME, Mobile Internet Management Extension, dient zur Verwaltung mobiler Internetzugänge.;2
62;Was ist Knoppix?;Ein Knoppix ist ein elektronisches Gerät zur Steuerung von Geräten und Prozessen.;"Das Tochterunternehmen von IBM; Knoppix kümmert sich u. a. um die Urheberrechte von Softwareentwicklern.";Knoppix ist ein umfangreiches Linux-System inklusive installierter Anwendungen, das direkt von CD gestartet werden kann.;3
63;Welche Aussage stimmt zum Promiscuous Mode?;Im Promiscuous Mode arbeitet der PC bis zu 30 Prozent schneller.;Der Promiscuous Mode ist ein Modus, in welchem ein Netzwerkinterface alle im Netzwerk verfügbare Daten empfängt.;Der Promiscuous Mode ist en schnelles, auf ISDN basierendes Übertragungsverfahren, bei dem der Datenstrom in einzelne Pakete unterteilt wird.;2
64;Was bewirkt der Befehl netstat –an in einem DOS-Fenster?; Er zeigt aktuelle TCP/IP-Netzwerkverbindungen an.;Durch Eingabe des Befehls werden alle Komponenten des PCs aufgelistet, deren Treiber fehlerhaft ist.;"Der Befehl setzt den PC in den sogenannten ""MS-Sleep-Mode"" und verbraucht zu Testzwecke enorm viel Ressourcen.";1
65;Was ist SSL?;SSL (Secure Socket Layer) ist ein Protokoll für den sicheren Austausch von Daten zwischen WWW-Servern und WWW-Clients.;SSL bedeutet Secure System Layer und dient zur sicheren Installation von Treibern.;Mit SSL (System Strategy Level) antwortet Microsoft auf die neueren Hackerangriffe. Es ist eine Methode zur Absicherung von Home-PCs.;1
66;Was ist das Public-Key Verfahren?;Das Publik-Key Verfahren stammt aus der Kryptographie und bezeichnet eine Verschlüsselungstechnik.;Beim Public-Key Verfahren handelt es sich um eine Technik, zur sicheren Manipulation von Registry-Keys.;Über das Public-Key Verfahren werden Schlüssel zur Serialisierung von Sharewareprogrammen berechnet.;1
67;Was versteht man unter Warez?;Warez ist die Übersetzungsfunktion von alphabetischen Domainnamen auf numerische IP-Adressen.;Warez sind geknackte Vollversionen von Shareware- oder kommerziellen Programmen.;Warez gehört zu einer Reihe von im Internet verfügbaren Diensten, die es dem Nutzer ermöglichen, über die dafür vorgesehenen Server registrierte Domain-Informationen zu erfragen;2
68;Was ist eine Partition?;Eine Partition ist ein Zwischenspeicher in dem Daten, zum Beispiel vom Speicher zur CPU, zwischengespeichert werden.;Eine Partition ist eine Spezifikation zur Verschlüsselung von eMail-Nachrichten nach RFC 1421.;Eine Partition ist die Einheit eines definierten Speicherbereichs einer Festplatte, die als eigenständiges Laufwerk angesprochen und behandelt werden kann.;3
69;Welche Aussage stimmt zu Werbeblocker?;Werbeblocker sind Programme, die Werbebanner im Internet erkennen und herausfiltern.;Werbeblocker zeigen in festen Intervallen Werbeeinblendungen an.;Werbeblocker filtern fehlerhafte Wörter aus Textdokumente.;1
70;Was ist ein Dongle?;Mittels Dongles wird die Netzwerkperformance gemessen.;Ein Dongle ist ein Kopierschutzstecker.;Ein Dongle schützt Mail-Server vor einem Angriff aus dem Internet.;2
71;Was bedeutet CAD?;CAD vergibt zusätzlich zur IP-Adresse auch dynamisch einen Domain-Namen innerhalb eines TCP/IP-Netzes. Die Abkürzung bedeutet: Carrier and Domains.;CAD bedeutet Computer Aided Design. Hierbei werden technische Zeichnungen mit Hilfe eines speziellen Programms entworfen.;Die elektronische Bezahlung per Internet über spezielle Dienstleister nennt sich CAD. CAD ist die Abkürzung für Cash and Destroy.;2
72;Was bedeutet die Abkürzung OEM?;Original Equipment Manufacturer;Organization Entered by Microsoft;Optical Extended Mail;1
73;Was bedeutet die Abkürzung FAT;Fuse Alarm Transmission;File Allocation Table;File Allocation Tranceiver;2
74;Welche Aussage stimmt zur Flatrate?;Bei der Flatrate handelt es sich um einen Internetzugang zum monatlichen Pauschaltarif. Die Telefonkosten sind auch inklusive.;Eine Flaterate ist ein Bildschirm mit einer geringen Tiefe. Er basiert nicht auf dem Prinzip der Elektronenstrahlröhre. Gebräuchliche Anzeigetechniken sind Elektrolumineszenz-, Plasma- und LCD-Displays.;Bei der Flatrate werden beim Aufbau von ausschließlich internen Netzwerkverbindungen die spezifischen Parameter eines Netzwerkprotokolls wie IPX, AppleTalk oder IP ausgehandelt.;1
75;Was ist ein Fake?;Ein Fake ist die Dateiübertragung von einem Rechner zu einem anderen.;Der Fake ist, im Gegensatz zum Fast Fake, ein Speicherchip, der ausgelesen und wieder neu beschrieben werden kann. Bei Modems sind in diesem Chip beispielsweise auch die Daten des Übertragungsstandards gespeichert.;Fake bedeutet wörtlich übersetzt Fälschung. Die Vokabel wird unter anderem auch als Bezeichnung für eMail mit falschen Absenderangaben verwendet.;3
76;Welche Aussage stimmt zu Perl?;PERL ist die neue Schnittstelle von Windows 2003, ersetzt MS-Office und bedeutet: Powerfully Engine for Routing and Learning.;"Der Begriff ""PERL"" bedeutet Portable Engine for Requestions in LANs.";PERL ist die Abkürzung für Practical Extraction and Report Language und ist eine Programmiersprache.;3
77;Was versteht man unter DDoS?;Unter DDoS (Distributed-Denial-of-Service = Verweigerung des Dienstes) versteht man einen Angriff auf einen Computer mit dem erklärten Ziel, die Verfügbarkeit außer Kraft zu setzen;DDos bedeutet Dirty Disk Operating System. Hierbei handelt es sich um ein schlampig programmiertes Betriebssystem.;DDos bedeutet Direct and Dynamic Object System. Es handelt sich hierbei um ein System, dass direkt und dynamisch Objekte der Tabellenkalkulation, Excel, adressieren kann;1
78;Was bedeutet die Abkürzung IRC?;Integrated Routing Cell;Internet Relay Chat;Internet Radio Corporation;2
79;Welche Aussage zu Steganographie ist richtig?;Mit Hilfe der Steganographie werden Sicherheitslücken in einem Betriebssystem aufgedeckt .;Mittels Steganographie werden auch neue, unbekannte Viren von einem Virenscanner aufgespürt.;Steganographie bedeutet verdecktes oder verstecktes Schreiben.;3
80;Welche Aussage stimmt zur Vcard?;Eine Vcard ist eine digitale Visitenkarte.;Auf einer Vcard können MP3-Dateien gespeichert werden.;Eine Vcard ist ein Zusatz zur Grafikkarte und übernimmt von dieser rechenintensive Aufgaben.;1
81;Was sind Cheats?;Cheats sind Tastenkombinationen oder Wörter die man im Spiel eingibt, um Vorteile in diesem zu haben.;Cheats sind Arbeitsblätter einer Tabellenkalkulation.;Cheats sind Lesezeichen, die man benutzt, um Seiten auf WWW- und FTP-Servern wiederzufinden.;1
82;Wozu dient eine Firewall?;Die Firewall sorgt dafür, dass bei der mehrfachen Nutzung einer Datenbank ein- und derselbe Datensatz jeweils nur von einer einzigen Person bearbeitet werden kann.; Firewall ist die englische Bezeichnung für die Zuordnung eines Netzwerk-Laufwerksnamens zu einem Verzeichnispfad.;Eine Firewall verhindert den unerlaubten Zugriff auf einen Computer oder auf ein Netzwerk.;3
83;Was ist die MAC-Adress?;Jeder ans Internet angeschlossene Rechner verfügt über eine IP-Adresse. Die MAC-Adresse ist die IP-Adresse für Macintosh-Rechner.;Die MAC-Adresse ist die physikalische Adresse einer Netzwerkkomponente.;Unter einer MAC-Adresse (MAC = Maximum Available Connections) ist eine IP-Adresse zu verstehen, die ausschließlich an Besitzer schneller DSL-Verbindungen vergeben wird.;2
84;Was ist ein Bluescreen?;Der Begrüßungsbildschirm, der bei jedem Start von Windows angezeigt wird, wird Bluescreen genannt.;Der Bluescreen ist ein Hinweis auf einen schweren Ausnahmefehler und wird angezeigt, sobald Windows herunter „fährt“.;Der Bluescreen ist eine Technologie, welche die 30-fache Bandbreite des weit verbreiteten USB 1.1 Standards für die Anbindung von Peripheriegeräten zur Verfügung stellt und sich inzwischen als Standard für den schnellen Datentransfer etabliert hat.;2
85;Was ist ein WLAN?; WLAN steht für Wide Light Application Node und beschreibt eine Technologie zur weltweiten Verknüpfung vernetzter Anwendungen.;WLAN sind Programme, die in Computer über eine Schwachstelle eindringen und sich von dort aus weiter vermehren.;WLAN (Wireless Lan) ist eine Technik, um Computer und EDV-Komponenten schnurlos miteinander zu verbinden.;3
86;Was ist Sobig.F?;Sobig.F ist eine Variante der bekannten Sobig-Würmer, verteilt sich extrem schnell und verbreitet sich über E-Mail?;Sobig.F, oder vielmehr F. Sobig, ist ein wenig populärer deutscher Innenminister, der gegen die Verschlüsselung von E-Mail war?;Es handelt sich bei Sobig.F um gezippte Dateien, die ausschließlich vom Betriebssystem verwendet werden. Das F. im Namen steht für Filesystem.;1
87;Was heißt IrDA?;Die Abkürzung IrDA bedeutet Infrared Data Association und dient dem Datenaustausch per Infrarot-Schnittstelle.;Mittels IrDA, Integrierter Digitaler Abgleich, werden persönliche Daten über das Internet unverschlüsselt versendet.;IrDA, Implementierung eines restriktiven Daten Adapters, dient zur Automatisierung von Serienbriefen in einem Worddokument mit Access-Anbindung.;1
88;Was versteht der versierte Computeranwender unter dem Begriff PC-Tuning?;Die Einbindung eines PCs in ein Netzwerk.;Die Optimierung eines PCs in Bezug auf Optik oder Performance.;PC-Tuning ist ein Modus, in welchem ein Netzwerkinterface alle im Netzwerk verfügbare Daten empfängt.;2
89;Wofür steht die Abkürzung DDE?;Dynamic Data Exchange;Distributed Data Elaboration;Deutscher Dateschutzbeauftragter für E-Mail;1
90;Was ist ein Screenshot?;Mittels eines Screenshots wird die Bildwiederholungsrate softwaregesteuert geändert ?;Über einen Screenshot kann ein Administrator die einzelnen Hardwarekomponenten eines Computers identifizieren?;Ein Screenshot ist eine Momentaufnahme des Bildschirminhalts.;3
91;"Was versteht der versierte Anwender unter dem Begriff ""booten""?";Unter Booten versteht man das Starten eines Computers.;Das Herunterfahren eines Computers nennt man booten.;Das Booten schützt den Computer vor Angriffe aus dem Internet.;1
92;Was ist eine IP-Adresse?;Der Begriff IP-Adresse steht für Interchange Promiscous Address und dient zur Autorisierung bei verschlüsselten Dateien.;IP-Adresse steht für Internet-Protocol-Address und ist sozusagen die Postanschrift Ihres Computers in einem Netzwerk.;IP-Adressen – Inter Politische-Adressen, werden ausschließlich im politischen Netzwerk Polinet vergeben.;2
93;Wozu dient die digitale Signatur?;Mittels der digitalen Signatur kann der Staat vertrauliche Daten Dritter, die unter das Datenschutzgesetz fallen, entschlüsseln und publizieren.;Unternehmensrelevante Programme nutzen die digitale Signatur um den Hashwert zu bilden.;Die digitale Signatur ermöglicht sicheren und rechtsverbindlichen elektronischen Datenaustausch.;3
94;Wozu dient das Programm Regedit?;Regedit dient dazu, Fehler die während der Ausführung eines Windowsprogramms ausgelöst werden, an Microsoft zu melden, sowie ein automatisches Update der fehlerhaften Programme durchzuführen.;Regedit ist staatlich geförderte Analysesoftware. Das Innenministerium setzt Regedit zur Untersuchung der Netzwerke von Privatfirmen ein.;Das Hilfsprogramm Regedit dient zur Bearbeitung der Registry.;3
95;Was versteht man unter Defragmentieren?;Defragmentieren ist eine Spezifikation zur Verschlüsselung von E-Mail-Nachrichten nach RFC 1421.;Defragmentieren bedeutet, Dateien, die in einzelne Fragmente auf dem Datenträger gespeichert sind, an einen zusammenhängenden Speicherort zu schreiben.;Unter Defragmentieren versteht man ein schnelles, auf ISDN basierendes Übertragungsverfahren, bei dem der Datenstrom in einzelne Pakete unterteilt wird;1
96;Was steckt hinter MPEG?;Motion Pictures Engine and Generator;Moving Picture Expert Group;Most Portable Engine for Graphics;2
97;Was versteht man in EDV-Fachkreisen unter einem Trojaner?;Ein Trojaner gehört zu den Must-Have Produkten. Trojaner ermöglichen den kostenlosen und anonymen Versand von E-Mail über das Handy.;Trojaner dienen dem Management dazu, Verstöße im Umgang mit der hausinternen IT zu ermitteln. Ein wesentlicher Bestandteil des Trojaners sind integrierte Mechanismen zur Persönlichkeitsanalyse.; Trojaner werden unwissentlich auf einem Computer installiert. Während sie vordergründig einen normalen Service bietet, wie beispielsweise eine Textverarbeitung, führen sie im Hintergrund schadhafte Funktionen aus.;3
